TA100-11360,SL 215
TA100-10050,ASTRO-215
TA100-13110,A215 SML (DS)
TA100-13280,A 215 with TH
TA100-11360,SL 215
TA100-12530,SL 215 HF
BOM awaited,SL 215 HF (TH)
TA100-10070,ASTRO-220 B 12V
TA100- 10080,Astro 220 A 12V
TA100-10680,ASTRO-220 B 24 V
TA100-12840,A 220 CS / 24V
TA100-10380,ASTRO-212
TA100-10410,ASTRO 540
TA100-10440,ASTRO-328
TA100-11650,A 328 RVFA (SML)
TA100-11970,A 325 RVFA (SML)
TA100-10870,"A 328 AL Oyster (Export)
/ Euro-3 9TM 43 with 2B)"
TA100-12550,"A 328 AL Smart (Export/alwar)
/ Euro-4 / 43 /8pk)"
TA100-13360,A 328 Eagle/CHAD/Export
TA100- 11320,SL 250 NW Gazl (export)+FH 12v
TA100-10600,ASTRO-325 (24V)
TA100-11910,Astro-325 (12V)
TA100-10400,"ASTRO-325 (12V/CO-DS),SML"
TA100-13610,"ASTRO-325 (12V/DS),SML"
TA100-13150,A 325/24v Spal VLL CODS/AL/indore with fuso demister
TA100-12830,A 325 CS / 12v
TA100-10100,ASTRO-438
TA100-10850,A 438 D (DICV )
TA100-11050,A 438 D FUSO (DICV )
TA100-11210,A 438 CS
TA100-10150,A 440
TA100-11550,SL 250 DICV (DS)/24v(KB-fan & blower))
TA100-10610,ASTRO-543 With Heating
BOM awaited,A 543 TH (Spal BLDC)
TA100-12720,"A 543 CODS TH (6016-R)
(IH302177)/VECV"
TA100-11790,A 543 +PP (VECV/ IH301779)
TA100-10920,A 543 SS  Spal (BLDC)
TA100-10950,A 543 DS AL+PP (falcon)
TA100-10880,Astro-543 SS (6B)
TA100-11180,A 543 SS (7 B/4F)
TA100-12790,A 543 SS (8B/5F)
TA100-10970,A 543 CS
TA100-10370,A 550
TA100-10900,A 550 SS
TA100-12780,A 550 SS BLDC
TA100-12610,SL 550 SS
TA100-12620,SL 550
TA100-12630,SL 545 SS (8B/5F)
TA100-12770,SL 545 SS BLDC spal
TA100-11620,SL 543 SS (7 B & 4 F)
TA100-12800,SL 543 SS (8 B & 5 F)
TA100-10960,SL-300 (24V)
BOM awaited,SL-300 (12V)
TA100-13290,SL-300 (24V) TH
TA100-11080,SL300/24V CODS /B5M73447 Alwar(KB fan & blowr)
TA100-12940,SL300/24V NW BLDC Spal
TA100-13160,SL300/24V WIDER BLDC Spal
TA100-10980,SL-250 (24V)
TA100-11020,SL-250 (12V)
TA100-13300,SL250/12 V with TH
TA100-11070,SL-250 (12V) NW
TA100-11540,SL-250 FML/T-3
TA100-13490,SL 250VE/VECV
TA100-11010,SL-200 (12V) 
BOM awaited,SL-200 (12V) with TH
TA100-11060,SL200 NW
TA100-11350,SL-212 LH
TA100-11370,SL218 LH
TA100-12210,SL-212 LH (With Heating)
TA100-12490,SL-208 (Sanatan)
TA100-11440,SL208 
TA100-11530,SL-543 EX
TA100-11570,SL-543
TA100-11640,SL-440 SS
TA100-11150,SL-440 / SL540
TA100-11780,SL440 UD CODS +Yanmar PP
TA100-10800,SL-438C (CO-DS)(6B/4F)
TA100-13520,SL 438 C Spal BLDC (4B &4F)
TA100-11380,"SL-206 SP, Single (Rear)"
TA100-11390,"SL-206 SP, Double evap"
TA100-12510,SL 206 DCFE
TA100-11590,SL 206 TRAX
TA100-11850,TR-350 (ESC)
TA100-11810,TR-350
TA100-12650,TR-50 MINI (R1)
TA100-11660,GTR 100
TA100-10860,A 214 SP
TA 100-12350,SL 550SS Cool Volvo (VB003525)
TA100-13020,SL 550SS VOLVO B8R Luggage Evp(VB009841)
TA100-12220,SL 440 cool (4679)
TA100-12810,SL 440SS W/O filter(VB007688)
TA100-12080,SL 440 TH (VB003617) 
TA100-12930,SL 440 13.5 MTR (VB003380)
TA100-12670,SL 440TH (7500)
TA100-12730,SL 440TH (VB007774)
TA100-12340,SL 440 TH (5553)
TA100-12300,SL 440 W/O filter (VB003176)
TA100-12290,SL 440SS cool (VB003678)
TA100-11950 ,SL 550 Cool (2427) volvo
TA100-12180,SL 440 W/O filter (VB004210)
TA100-12410,SL 440 cool (VB003512)
TA100-13200,SL 440SS w/o filter (VB010024) FEHD with EBM blower only
TA109-10010,EL 538 with Comp emerson (CKD)
TA109-10030,EL 538 BC heating GC (CKD) with Emerson
TA100-12560,EL 538 VE BC (VECV) with Coolant Box Assembly/IH302323)
TA100-12040,EL 538 BC GC /emerson comp
TA109-10140,EL 538 BCGC cooling with emerson com
TA100-13260,EL 538 ULE
TA109-10250,EL 538 SS
TA109-10120,EL 430 MF SS offset (for GC ) / Emerson Comp
BOM awaited,BCS  (for EL 430BC MFC for GC) & EL 430 MFSS (GC)/imported
TA100-13010,EL535 BC MFC with Emerson comp (OGL)
TA100-12460,NG 09 VE (PMI) 4B & 3 F/225 comp with Spal BLDC
TA100-12520,NG 09 VE (PMI)/ 6 B & 4 F)/225 comp/Spal VLL
TA100-12371,NG 09 BC NMMT (R-1) with MFC JBM 
TA100-11420,NG 09 Cooling JBM
TA100-13370,NG 09 MF Cool (CRUT) / HF with demister
TA100-12140,NG 09 MF Cool LF with demister
TA100-12440,NG 09 VE BC/225 comp with coolant Box assembly (IH302560)
TA100-12330,"NG-09 ION BC  (Pinnacle Mobility)/225 comp with
 TCS (TA180-15090)"
TA100-12500,NG-09 OGL MFC/225comp
TA100-13540,NG 09 BC (Aero Eagle)
TA100-11980,Battery chiler System (BC-106)/Pinnacle Mobility
TA100-11940,SL 205 DMFC
TA100-12700,SLE 104 ACDC
TA100-12890,NG12 Sky-4 (A02 comp) JBM
TA100-12850,NG12 Tarmac cooling (SKY-2/sky-5) A02 comp
BOM awaited,NG12 Tarmac cooling / A02 comp for DICV proto
TA100-12870,NG12 Cool ( Low Floor) 
TA100-13060,NG12 BC (EKA)/ION with emerson comp & TMCS(12Mtr)
TA100-12860,NG12 Cool (High Floor)/A02 Comp
TA100-12970,NG12 OGL ( A02 comp)
TA100-12820,NG12 heating & cooling (SKY-3 / Sky-1) JBM (Emerson Comp)
TA100-12710,EL 430 MF OGL/225comp
TA100-12990,EL 430 GC (with mfc/225 com)/BLDC spal
TA109-10150,EL 430 GC ( with MFC Green Cell (comp 225)/CKD/BLDC
